experiment,x_variable,x_label,y_variable,y_label,observed_x,observed_y,plot_x,plot_y,spearman_rho,q_value
2,aq_score,AQ,4_nf_daily,Daily familiarity,19,0.75,19.092994445698046,0.77640030957801276,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,23,0,22.996277150107865,-0.011440941865436101,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,13,0.125,13.12494104134419,0.12778402197842911,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,20,0.5,19.970645762115399,0.52303921341081505,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,28,1.75,27.834089553970788,1.7281556557030873,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,17,0,16.928207329973525,-0.0012377824045366999,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,18,-0.125,17.879365547427266,-0.10884393085638019,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,14,0,14.097455244680312,-0.02108483132007,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,30,0.25,29.933612372608938,0.23140537524994609,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,23,0.875,23.006601538183883,0.89080107360325222,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,17,1.125,17.084395269795476,1.1468954570432559,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,19,0.5,19.103915643732737,0.49173352347296428,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,12,0.75,12.089521698925791,0.76138655006871514,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,29,2.75,29.051487669902205,2.749015797264204,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,20,1.5,20.04029185306802,1.4967522023913882,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,13,0.625,13.118942123797961,0.62729342400015187,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,12,-0.875,12.095005570602533,-0.87533721743774029,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,34,1.125,34.160285624561723,1.1207784602618809,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,8,-1,8.1191498338165324,-0.98192357865243041,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,18,-0.25,18.0937310579897,-0.22865242512049991,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,26,-0.5,26.130961018707328,-0.50968446546823254,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,22,-0.5,21.870329109315833,-0.47640843562838991,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,17,0,16.92656067277148,0.0027625586362468998,0.2344950776831648,5.6196470670873507e-05
2,aq_score,AQ,4_nf_daily,Daily familiarity,25,2.375,24.97901456491023,2.3587766488749407,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,22,0.875,21.880852129644719,0.89636861655206956,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,28,1.5,28.122701923253398,1.4808054315554946,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,20,0.125,20.010328946482218,0.1449719067838908,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,24,0.75,24.09205549106052,0.73665760229480337,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,16,-0.875,15.841544620776538,-0.871477530695137,0.2344950776831648,5.6196470670873507e-05
