category,comparison_position,observed_mean,participant_sd,n_participants,sem,ci_low,ci_high
Face,1,0.024583333333333332,0.3484137096832415,15,0.08996003301290267,-0.16836174791730762,0.21752841458397432
Face,2,0.07375000000000001,0.32868956533048455,15,0.08486728083980809,-0.10827221418492769,0.2557722141849277
Face,3,-0.03541666666666667,0.1703735828645252,15,0.04399026993786636,-0.12976641202727462,0.058933078693941286
Face,4,-0.03541666666666665,0.5674025771212267,15,0.1465027154523787,-0.34963374051261,0.2788004071792767
Face,5,-0.08541666666666665,0.22463594886796173,15,0.058000752595007775,-0.2098159087216025,0.0389825753882692
Face,6,0.17041666666666666,0.4315634644053222,15,0.11142920736489267,-0.06857521393468999,0.40940854726802334
Face,7,0.034166666666666665,0.43353990039913887,15,0.11193952094415247,-0.20591972770614964,0.27425306103948294
Face,8,0.07166666666666666,0.2730538550141624,15,0.07050220220583904,-0.07954551809324434,0.22287885142657765
Face,9,0.03166666666666666,0.43046296367427256,15,0.11114505929796972,-0.2067157769433563,0.27004911027668965
Face,10,0.14541666666666667,0.41275334932735847,15,0.10657245653574611,-0.08315851940980692,0.3739918527431403
Face,11,-0.053750000000000006,0.35518166880786917,15,0.0917075125447357,-0.2504430520879238,0.14294305208792374
Face,12,-0.05958333333333334,0.46728859493077823,15,0.12065339640263784,-0.318359131789675,0.19919246512300834
Face,13,0.14208333333333334,0.3914578027189186,15,0.10107397004488801,-0.07469877211385673,0.3588654387805234
Face,14,0.145,0.342938978328715,15,0.08854646345549996,-0.04491327608147902,0.334913276081479
Face,15,0.11416666666666667,0.31004811934524584,15,0.08005408018313778,-0.057532258823561555,0.2858655921568949
Face,16,0.01625,0.1819690171822822,15,0.046984198204847345,-0.08452108285220698,0.11702108285220698
Face,17,-0.006666666666666669,0.4393993634442796,15,0.11345242779692233,-0.24999792351736205,0.2366645901840287
Face,18,0.10291666666666667,0.29883391927544606,15,0.07715858617571295,-0.06257204182149352,0.2684053751548269
Face,19,0.0675,0.3397346653745285,15,0.08771911340832657,-0.12063878671405406,0.25563878671405404
Face,20,0.08583333333333333,0.3683295625749672,15,0.09510228411791403,-0.1181407796332621,0.2898074462999288
Face,21,0.21166666666666667,0.3843685878288232,15,0.09924354263108634,-0.001189562430203378,0.42452289576353675
Face,22,-0.01916666666666667,0.5014680828280481,15,0.12947850222983945,-0.2968704346206485,0.25853710128731516
Face,23,0.06999999999999999,0.37265037712503196,15,0.09621791363754414,-0.13636690030894527,0.27636690030894523
Face,24,0.17583333333333334,0.5768355149516401,15,0.14893828952724542,-0.14360752736581972,0.4952741940324864
Face,25,0.05375,0.519914785256749,15,0.13424142031642627,-0.23416921126173204,0.34166921126173205
Face,26,0.2058333333333333,0.35705162525220085,15,0.0921903332225377,0.008104733883008836,0.4035619327836578
Scenery,1,-0.28095238095238095,0.7150540085754266,15,0.18462615112343217,-0.6769360921232571,0.11503133021849521
Scenery,2,-0.05809523809523808,0.639411780220039,15,0.16509541174406986,-0.41218967944008306,0.2959992032496069
Scenery,3,-0.4238095238095238,0.6461292387729245,15,0.16682985208434747,-0.7816239697071823,-0.06599507791186532
Scenery,4,-0.24285714285714285,0.8019473383755923,15,0.20706191240426886,-0.6869607761564396,0.20124649044215384
Scenery,5,-0.3942857142857143,0.9882959389645193,15,0.255176914182267,-0.9415857628875608,0.15301433431613215
Scenery,6,-0.4314285714285714,0.5684411705985826,15,0.14677087913513062,-0.7462207991714638,-0.11663634368567893
Scenery,7,-0.2923809523809524,0.8277065624647016,15,0.21371291546482524,-0.7507495685058252,0.16598766374392038
Scenery,8,-0.5961904761904762,0.647837098145608,15,0.16727081947821862,-0.954950703084315,-0.23743024929663742
Scenery,9,-0.2866666666666667,0.8003546347102859,15,0.20665067808619053,-0.7298882900749344,0.15655495674160108
Scenery,10,-0.47619047619047616,0.549679648731285,15,0.1419266750190273,-0.7805929194315979,-0.17178803294935446
Scenery,11,-0.5419047619047619,0.7734754904359612,15,0.19971051287720612,-0.9702412113608556,-0.11356831244866811
Scenery,12,-0.5828571428571429,0.6823300843604388,15,0.1761768702229521,-0.9607189488301986,-0.2049953368840871
Scenery,13,-0.3295238095238095,0.6058862546279897,15,0.15643915825801272,-0.6650524336245246,0.006004814576905604
Scenery,14,-0.25523809523809526,0.5806869026519925,15,0.1499327135554623,-0.5768117833551127,0.06633559287892216
Scenery,15,-0.5666666666666667,0.7006799418795866,15,0.18091478306141465,-0.9546902850241676,-0.17864304830916572
Scenery,16,-0.5104761904761905,0.5867702444124883,15,0.15150342564397484,-0.8354187209711998,-0.18553365998118126
Scenery,17,-0.6028571428571429,0.6426348822128587,15,0.16592761310015777,-0.9587364785921917,-0.2469778071220941
Scenery,18,-0.43142857142857144,0.7761608441403601,15,0.20040386822226036,-0.8612521201987335,-0.001605022658409283
Scenery,19,-0.3628571428571429,0.5991441904357787,15,0.15469836476897972,-0.6946521362561675,-0.031062149458118193
Scenery,20,-0.38285714285714284,0.6772479036749173,15,0.17486465681245597,-0.7579045309756605,-0.007809754738625219
Scenery,21,-0.33714285714285713,0.7338504228715059,15,0.18947936442590751,-0.7435356755985038,0.06924996131278949
Scenery,22,-0.7580952380952382,0.6787586565908293,15,0.17525473153802673,-1.1339792532924529,-0.38221122289802356
Scenery,23,-0.2980952380952381,0.8301334092555808,15,0.21433952461181668,-0.7578077971771051,0.16161732098662895
Scenery,24,-0.3676190476190476,0.6667327469679997,15,0.17214965502521243,-0.7368433360466147,0.0016052408085193703
Scenery,25,-0.2733333333333333,0.7171141279444789,15,0.1851580716572681,-0.6704579005842104,0.12379123391754382
Scenery,26,-0.4380952380952381,0.6569357851802109,15,0.16962009036870998,-0.8018941499213135,-0.07429632626916272
Geometry,1,-0.5066666666666667,1.4031681839255594,15,0.3622964672181198,-1.2837153066354214,0.27038197330208813
Geometry,2,-0.4433333333333333,1.3519650601289679,15,0.34907587750225344,-1.1920266284730865,0.30535996180641983
Geometry,3,0.1,1.0698798330386723,15,0.2762417850534633,-0.4924797032290773,0.6924797032290773
Geometry,4,0.006666666666666639,1.2922663738379874,15,0.3336617429825582,-0.7089665979494835,0.7222999312828167
