category,n,spearman_rho,zero_null_p,bootstrap_90_ci_low,bootstrap_90_ci_high,adjusted_partial_rank_r,adjusted_bootstrap_90_ci_low,adjusted_bootstrap_90_ci_high,sesoi_absolute_rho,fisher_90_ci_low,fisher_90_ci_high,tost_p_lower,tost_p_upper,tost_p,sesoi_status,n_bootstrap,ci_method,tost_p_holm_3_categories,equivalent_after_holm_0_05
Face,153,-0.0065012912646867,0.9364298154483952,-0.1539202424512501,0.1408563652577851,-0.0204049840940828,-0.1756034380973012,0.1345192708081017,0.2,-0.1398799411446067,0.1271090844620232,0.0081232327047266,0.0051948538267521,0.0081232327047266,post hoc working bound; not preregistered,10000,experiment-stratified participant bootstrap percentile,0.02436969811418,True
Scenery,153,0.0568452287031835,0.4852178457318281,-0.0838091210075141,0.192322866476286,0.051169824774322,-0.0864691454370333,0.1915867866228722,0.2,-0.0772409958060759,0.1889116629632578,0.0007365863466667,0.0370499389215684,0.0370499389215684,post hoc working bound; not preregistered,10000,experiment-stratified participant bootstrap percentile,0.0740998778431369,False
Geometry,153,0.0733747657257705,0.3673924415494491,-0.0587336678633033,0.2056276777942314,0.0540388221519996,-0.0796861895793327,0.1942645683326791,0.2,-0.0607200747687815,0.2048680285919092,0.0003581953834152,0.0567466499491356,0.0567466499491356,post hoc working bound; not preregistered,10000,experiment-stratified participant bootstrap percentile,0.0740998778431369,False
