experiment,mode,questionnaire_variable,questionnaire_label,observed_face_fni,observed_questionnaire_value,plot_face_fni,plot_questionnaire_value
3,lab,aq_score,AQ,0.56176470588235294,22,0.55645017318817969,22.008353958367163
3,lab,aq_score,AQ,-0.49558823529411761,28,-0.49424034788347387,28.00903545294571
3,lab,aq_score,AQ,0.18235294117647061,20,0.1794615248755021,20.003380738013369
3,lab,aq_score,AQ,-0.1176470588235294,24,-0.1145741032028588,24.031659959833942
3,lab,aq_score,AQ,-0.16029411764705881,16,-0.15281882442983441,15.924118842689269
3,lab,aq_score,AQ,-0.83823529411764708,23,-0.83564898676414523,23.058177928734711
3,lab,aq_score,AQ,-0.030882352941176399,33,-0.030051297808737401,32.923943424168442
3,lab,aq_score,AQ,0.055882352941176397,39,0.054995547384619203,38.899473717755001
3,lab,aq_score,AQ,-0.57352941176470584,25,-0.58298115148843965,24.993240485972223
3,lab,aq_score,AQ,-0.188235294117647,33,-0.1950717687902952,32.980483733031917
3,lab,aq_score,AQ,-0.29264705882352943,24,-0.30126466495928622,23.957487619413808
3,lab,aq_score,AQ,1.1000000000000001,17,1.09736163046173,17.027467878742858
3,lab,aq_score,AQ,-0.077941176470588194,33,-0.086456979020389596,32.936898277814883
3,lab,aq_score,AQ,0.69411764705882362,26,0.69382006615186731,25.952351868674612
3,lab,aq_score,AQ,0.024999999999999901,28,0.0276360903259277,28.068809091323889
3,lab,aq_score,AQ,-0.27499999999999991,16,-0.27933353094480939,15.986764616669287
3,lab,aq_score,AQ,-0.030882352941176399,32,-0.023260574009289801,31.960616005959867
3,lab,aq_score,AQ,-0.47647058823529409,25,-0.47390275689157341,25.056835320850677
3,lab,aq_score,AQ,0.15588235294117639,13,0.1609994543563473,13.091244139405257
3,lab,aq_score,AQ,-1.0588235294117647,16,-1.0687644084990431,16.002315407389666
3,lab,aq_score,AQ,-0.26911764705882352,27,-0.27963239185956829,27.037561292471185
3,lab,aq_score,AQ,-0.34264705882352942,16,-0.35257376148034708,16.113746831222731
5,online,aq_score,AQ,0.4627941176470588,26,0.4565623351807328,25.899940590639691
5,online,aq_score,AQ,0.1676470588235294,11,0.17743291208140541,11.028855397909116
5,online,aq_score,AQ,0.027058823529411701,33,0.019302886783864,33.100260446925418
5,online,aq_score,AQ,0.73338235294117649,17,0.7339645392128743,16.947477420405971
5,online,aq_score,AQ,-0.0177941176470587,23,-0.0136529405347921,22.923056794086762
5,online,aq_score,AQ,0.2473529411764705,32,0.25315566763341762,32.098061675378169
5,online,aq_score,AQ,0.64676470588235291,21,0.6429836996550502,21.091826929727468
5,online,aq_score,AQ,-0.53970588235294126,43,-0.53144060301643392,42.94184413580345
5,online,aq_score,AQ,0.68000000000000005,34,0.68466001026357903,33.930264390969775
5,online,aq_score,AQ,-0.055588235294117598,13,-0.052881243363582402,12.97356697516074
5,online,aq_score,AQ,-0.17235294117647049,34,-0.182312824427801,34.097786631909081
5,online,aq_score,AQ,0.4122058823529412,19,0.40439786696193991,18.920027807738435
5,online,aq_score,AQ,0.2026470588235294,24,0.21364680586046769,24.017180330240144
5,online,aq_score,AQ,0.28749999999999998,12,0.2926717198681193,12.006113532616061
5,online,aq_score,AQ,0.29191176470588232,15,0.30177637269433749,15.034073783295764
5,online,aq_score,AQ,0.31191176470588239,17,0.30287238413179768,16.999846636060965
5,online,aq_score,AQ,0.57794117647058818,12,0.5780441739534905,12.042773111626513
5,online,aq_score,AQ,0.3386764705882353,9,0.35006128069619058,8.9327692058870252
