panel,method,method_label,neutral_threshold,profile_pattern,n,percent,face_fni_raw_mean,face_fni_raw_sd,geometry_fni_raw_mean,geometry_fni_raw_sd,scenery_fni_raw_mean,scenery_fni_raw_sd
a,sign_only,"Sign only, no neutral",0.0,NNF,6,3.870967741935484,-0.2119607843137254,0.101061822297949,-0.2943627450980393,0.2160596256184297,0.1966666666666666,0.2982304452945351
a,sign_only,"Sign only, no neutral",0.0,NFF,8,5.161290322580645,-0.3443382352941176,0.3484033474098754,0.5694301470588234,0.4479604632145961,0.282922794117647,0.1934854174264129
a,sign_only,"Sign only, no neutral",0.0,FNF,12,7.741935483870968,0.586078431372549,0.3813004453465459,-0.4915808823529411,0.3465781709997871,0.2722181372549019,0.3405484115095559
a,sign_only,"Sign only, no neutral",0.0,NFN,20,12.903225806451612,-0.3042794117647058,0.3425152681747183,0.502220588235294,0.4399788101158258,-0.5583676470588236,0.518178319638483
a,sign_only,"Sign only, no neutral",0.0,NNN,21,13.548387096774196,-0.3089985994397758,0.3975736113291173,-0.4853921568627451,0.3707450658269958,-0.7118137254901961,0.4457142059689565
a,sign_only,"Sign only, no neutral",0.0,FFF,22,14.193548387096774,0.5428943850267379,0.4245202951840558,0.4516109625668448,0.2834988690343665,0.5355748663101604,0.5008320332707494
a,sign_only,"Sign only, no neutral",0.0,FFN,28,18.064516129032256,0.3424737394957982,0.2540578912508647,0.3680199579831932,0.3349327914982506,-0.6544905462184873,0.4762949467851298
a,sign_only,"Sign only, no neutral",0.0,FNN,38,24.516129032258064,0.3838893188854489,0.3265082847823709,-0.4730379256965943,0.3575849562424074,-0.6833010835913313,0.476042672643538
b,neutral_band,+/-0.20 neutral band,0.2,F0F,1,0.6451612903225806,0.2686764705882353,,0.0089705882352941,,0.5720588235294117,
b,neutral_band,+/-0.20 neutral band,0.2,NF0,1,0.6451612903225806,-0.5397058823529411,,0.5820588235294117,,0.1726470588235293,
b,neutral_band,+/-0.20 neutral band,0.2,NNF,1,0.6451612903225806,-0.2492647058823529,,-0.2201470588235294,,0.2377941176470588,
b,neutral_band,+/-0.20 neutral band,0.2,00F,2,1.2903225806451613,0.0470588235294117,0.0212132034355964,0.010735294117647,0.2456156201709742,0.2154411764705882,0.0193414501912791
b,neutral_band,+/-0.20 neutral band,0.2,0N0,2,1.2903225806451613,0.0451470588235293,0.0174696969469617,-0.5956617647058824,0.1816640509901321,-0.0876470588235293,0.039306818130664
