analysis_record_id,experiment,mode,in_primary,face_fni,geometry_fni,scenery_fni,aq_score,daily_familiarity,maemuki_score,flow_original,flow_common12,negative_capability,novelty_benefit,familiarity_benefit,daily_food,daily_places,daily_movies,daily_restaurant,daily_clothes,daily_games,daily_books,daily_snacks
A030,3,lab,True,-0.8382352941176471,0.4014705882352941,-0.6176470588235294,23,0.625,0.9408540290119238,1.75,1.75,2.111111111111111,2.5,2.5,-1,-1,-2,1,1,2,3,2
A031,3,lab,True,-0.0308823529411764,-0.7102941176470587,-1.038235294117647,33,0.5,-0.821386167438799,0.666666666667,0.666666666667,-0.1111111111111111,1.5,-1.5,1,-2,2,1,1,3,-2,0
A032,3,lab,True,0.0558823529411764,-0.2411764705882352,-0.3647058823529412,39,1.5,0.5058818131186552,1.08333333333,1.08333333333,1.1111111111111112,1.5,1.5,2,1,2,0,2,1,2,2
A033,3,lab,True,-0.5735294117647058,-0.7647058823529411,-0.0720588235294117,25,-0.875,0.7066498316498318,0.833333333333,0.833333333333,2.4444444444444446,0.0,1.5,-2,1,-3,2,-1,-2,-3,1
A034,3,lab,True,-0.188235294117647,0.0044117647058823,-0.2029411764705882,33,2.0,0.1456064403432824,0.916666666667,0.916666666667,0.4444444444444444,0.5,0.0,2,2,2,2,2,2,2,2
A035,3,lab,True,-0.2926470588235294,-0.586764705882353,-1.3323529411764703,24,1.875,0.6411293384977595,1.5,1.5,3.0,3.0,0.0,1,2,2,3,3,2,1,1
A036,3,lab,True,1.1,-0.4264705882352941,0.0926470588235294,17,-1.625,1.513580352396142,1.75,1.75,2.5555555555555554,1.5,0.0,-2,-2,-3,-2,0,-1,-2,-1
A037,3,lab,True,-0.0779411764705882,0.1102941176470588,-0.325,33,0.0,0.3459140274929748,0.416666666667,0.416666666667,0.7777777777777778,1.5,1.0,3,-1,-1,-2,1,0,-1,1
A038,3,lab,True,0.6941176470588236,0.375,-0.8073529411764706,26,1.5,0.9823355737829422,1.41666666667,1.41666666667,0.7777777777777778,2.5,-0.5,3,3,2,2,1,0,-2,3
A039,3,lab,True,0.0249999999999999,-0.1,-0.2779411764705882,28,0.5,0.3558425736057314,0.333333333333,0.333333333333,0.6666666666666666,2.0,0.5,3,2,-1,0,0,0,-1,1
A040,3,lab,True,-0.2749999999999999,-0.6867647058823529,0.0661764705882353,16,0.625,0.7684577605630237,1.58333333333,1.58333333333,1.3333333333333333,2.0,2.0,3,3,2,-1,-1,0,0,-1
A041,3,lab,True,-0.0308823529411764,1.411764705882353,0.4102941176470588,32,-0.75,-0.7027265132528291,-0.416666666667,-0.416666666667,-0.6666666666666666,0.0,0.0,-2,1,-3,-1,-2,-1,0,2
A042,3,lab,True,-0.4764705882352941,-0.2352941176470588,-0.1235294117647058,25,0.0,0.7559694691273638,0.166666666667,0.166666666667,1.7777777777777777,1.5,1.0,-1,-1,-1,1,2,3,-1,-2
