experiment1_record_id,category,comparison_position,familiar_target_preference
E1A007,Face,25,0.3375
E1A007,Face,26,0.53125
E1A008,Face,1,-0.14375
E1A008,Face,2,0.0437500000000001
E1A008,Face,3,-0.34375
E1A008,Face,4,-0.1375
E1A008,Face,5,-0.35625
E1A008,Face,6,-0.525
E1A008,Face,7,-0.05
E1A008,Face,8,0.11875
E1A008,Face,9,0.35625
E1A008,Face,10,-0.3375
E1A008,Face,11,0.2
E1A008,Face,12,-0.525
E1A008,Face,13,0.2625
E1A008,Face,14,-0.08125
E1A008,Face,15,0
E1A008,Face,16,-0.09375
E1A008,Face,17,-0.08125
E1A008,Face,18,-0.525
E1A008,Face,19,-0.41875
E1A008,Face,20,0.1375
E1A008,Face,21,0.0125
E1A008,Face,22,-0.2375
E1A008,Face,23,-0.23125
E1A008,Face,24,-0.1125
E1A008,Face,25,0.03125
E1A008,Face,26,0.26875
E1A009,Face,1,-1.0625
E1A009,Face,2,0.9
E1A009,Face,3,-0.19375
E1A009,Face,4,1.2875
E1A009,Face,5,0.26875
E1A009,Face,6,1.00625
E1A009,Face,7,1.04375
E1A009,Face,8,-0.19375
E1A009,Face,9,0.075
E1A009,Face,10,1.4125
E1A009,Face,11,-0.06875
E1A009,Face,12,-0.1375
E1A009,Face,13,0.725
E1A009,Face,14,0.69375
E1A009,Face,15,0.78125
E1A009,Face,16,-0.18125
E1A009,Face,17,0.3625
E1A009,Face,18,0.0625000000000001
E1A009,Face,19,-0.0187499999999999
E1A009,Face,20,1.0625
E1A009,Face,21,0.70625
E1A009,Face,22,0.95
E1A009,Face,23,0.55625
E1A009,Face,24,1.45
E1A009,Face,25,1.1875
E1A009,Face,26,0.6375
E1A010,Face,1,0.11875
E1A010,Face,2,-0.45625
E1A010,Face,3,0.23125
E1A010,Face,4,-1.4
E1A010,Face,5,-0.18125
E1A010,Face,6,0.14375
E1A010,Face,7,-0.5
E1A010,Face,8,0.3
E1A010,Face,9,-0.44375
E1A010,Face,10,-0.0375
E1A010,Face,11,-0.88125
E1A010,Face,12,-1.2625
E1A010,Face,13,-0.25625
E1A010,Face,14,0.39375
E1A010,Face,15,-0.15
E1A010,Face,16,-0.34375
E1A010,Face,17,-0.9125
E1A010,Face,18,0.73125
E1A010,Face,19,-0.16875
E1A010,Face,20,-0.09375
E1A010,Face,21,-0.18125
E1A010,Face,22,-0.91875
E1A010,Face,23,-0.29375
E1A010,Face,24,-0.9375
E1A010,Face,25,-0.3
E1A010,Face,26,-0.3875
E1A011,Face,1,0.225
E1A011,Face,2,0.29375
E1A011,Face,3,0.23125
E1A011,Face,4,0.1875
E1A011,Face,5,0.125
E1A011,Face,6,0.6875
E1A011,Face,7,0.19375
E1A011,Face,8,0.4
E1A011,Face,9,0.66875
E1A011,Face,10,0.44375
E1A011,Face,11,0.38125
E1A011,Face,12,0.79375
E1A011,Face,13,0.60625
E1A011,Face,14,0.3625
E1A011,Face,15,0.63125
E1A011,Face,16,0.3875
E1A011,Face,17,0.53125
E1A011,Face,18,0.0875
E1A011,Face,19,0.35
E1A011,Face,20,-0.39375
E1A011,Face,21,0.25625
E1A011,Face,22,0.25625
E1A011,Face,23,0.69375
E1A011,Face,24,0.68125
E1A011,Face,25,0.7
E1A011,Face,26,-0.09375
E1A012,Face,1,0.1125
E1A012,Face,2,0.1875
E1A012,Face,3,-0.0125
E1A012,Face,4,-0.31875
E1A012,Face,5,-0.08125
E1A012,Face,6,0.2125
E1A012,Face,7,-0.33125
E1A012,Face,8,0.15625
E1A012,Face,9,-0.48125
E1A012,Face,10,0.23125
E1A012,Face,11,0.38125
E1A012,Face,12,0.09375
E1A012,Face,13,0.3375
E1A012,Face,14,-0.5875
E1A012,Face,15,0.10625
E1A012,Face,16,-0.1125
E1A012,Face,17,0.20625
E1A012,Face,18,0.29375
E1A012,Face,19,0.28125
E1A012,Face,20,0.19375
E1A012,Face,21,-0.21875
E1A012,Face,22,0.21875
E1A012,Face,23,-0.56875
E1A012,Face,24,0.35625
E1A012,Face,25,0.10625
E1A012,Face,26,0.3375
E1A013,Face,1,-0.18125
E1A013,Face,2,-0.06875
E1A013,Face,3,-0.1125
E1A013,Face,4,-0.25625
E1A013,Face,5,-0.325
E1A013,Face,6,0.11875
E1A013,Face,7,-0.19375
E1A013,Face,8,0.30625
E1A013,Face,9,0.625
E1A013,Face,10,0.18125
E1A013,Face,11,-0.1875
E1A013,Face,12,-0.3375
E1A013,Face,13,-0.05
E1A013,Face,14,0.04375
E1A013,Face,15,0.28125
E1A013,Face,16,0.11875
E1A013,Face,17,0.19375
E1A013,Face,18,0.3375
E1A013,Face,19,0.28125
E1A013,Face,20,0.3375
E1A013,Face,21,0.3125
E1A013,Face,22,-0.4
E1A013,Face,23,-0.225
E1A013,Face,24,-0.025
E1A013,Face,25,0.0875
E1A013,Face,26,-0.125
E1A014,Face,1,0.375
E1A014,Face,2,0.15625
E1A014,Face,3,-0.05625
E1A014,Face,4,0.3125
E1A014,Face,5,0.025
E1A014,Face,6,0.7625
E1A014,Face,7,0.46875
E1A014,Face,8,0.525
E1A014,Face,9,0.53125
E1A014,Face,10,0.2
E1A014,Face,11,0.0375
E1A014,Face,12,-0.4125
E1A014,Face,13,0.8625
E1A014,Face,14,0.36875
E1A014,Face,15,0.55625
E1A014,Face,16,1.11022302462516e-16
E1A014,Face,17,0.725
E1A014,Face,18,0.25
E1A014,Face,19,0.0375
E1A014,Face,20,0.35
E1A014,Face,21,0.41875
E1A014,Face,22,-0.5625
E1A014,Face,23,-0.0187500000000001
E1A014,Face,24,0.5625
E1A014,Face,25,-0.3375
E1A014,Face,26,0.875
E1A015,Face,1,0.14375
E1A015,Face,2,0.04375
E1A015,Face,3,0.05625
E1A015,Face,4,-0.1
E1A015,Face,5,0.1
E1A015,Face,6,-0.08125
E1A015,Face,7,0.11875
E1A015,Face,8,0.06875
E1A015,Face,9,0.0625
E1A015,Face,10,0.08125
E1A015,Face,11,0.05
E1A015,Face,12,0.0625
E1A015,Face,13,0.0875
E1A015,Face,14,0.0375
E1A015,Face,15,0.025
E1A015,Face,16,0.05625
E1A015,Face,17,0.11875
E1A015,Face,18,0.175
E1A015,Face,19,0.04375
E1A015,Face,20,0.05
E1A015,Face,21,-0.01875
E1A015,Face,22,0.15625
E1A015,Face,23,0.01875
E1A015,Face,24,0.06875
E1A015,Face,25,0.075
E1A015,Face,26,0.14375
E1A001,Scenery,1,0.114285714285714
E1A001,Scenery,2,-0.757142857142857
E1A001,Scenery,3,-0.0857142857142856
E1A001,Scenery,4,-0.885714285714286
E1A001,Scenery,5,1.07142857142857
E1A001,Scenery,6,0.0142857142857144
E1A001,Scenery,7,-0.585714285714286
E1A001,Scenery,8,-0.657142857142857
E1A001,Scenery,9,-0.0142857142857143
E1A001,Scenery,10,-1.11428571428571
E1A001,Scenery,11,-0.9
E1A001,Scenery,12,-0.257142857142857
E1A001,Scenery,13,0.514285714285714
E1A001,Scenery,14,-0.428571428571429
E1A001,Scenery,15,1.58603289232165e-17
E1A001,Scenery,16,0.0142857142857143
E1A001,Scenery,17,-0.285714285714286
E1A001,Scenery,18,-1.01428571428571
E1A001,Scenery,19,0.242857142857143
E1A001,Scenery,20,-0.785714285714286
E1A001,Scenery,21,-0.457142857142857
E1A001,Scenery,22,-1.54285714285714
E1A001,Scenery,23,0.0714285714285714
E1A001,Scenery,24,-0.814285714285714
E1A001,Scenery,25,-0.957142857142857
E1A001,Scenery,26,-0.528571428571429
E1A002,Scenery,1,-0.371428571428571
E1A002,Scenery,2,-0.814285714285714
E1A002,Scenery,3,-0.428571428571429
E1A002,Scenery,4,-1.88571428571429
E1A002,Scenery,5,-1.55714285714286
E1A002,Scenery,6,-0.271428571428571
E1A002,Scenery,7,-0.671428571428571
E1A002,Scenery,8,-1.8
E1A002,Scenery,9,-1.68571428571429
E1A002,Scenery,10,-0.0142857142857144
E1A002,Scenery,11,-0.6
E1A002,Scenery,12,-1
E1A002,Scenery,13,-1.08571428571429
E1A002,Scenery,14,-1.68571428571429
E1A002,Scenery,15,-1.17142857142857
E1A002,Scenery,16,-0.942857142857143
E1A002,Scenery,17,-1.28571428571429
E1A002,Scenery,18,-0.0714285714285714
E1A002,Scenery,19,-0.9
E1A002,Scenery,20,-1.15714285714286
E1A002,Scenery,21,-0.428571428571429
E1A002,Scenery,22,-0.985714285714286
E1A002,Scenery,23,-0.457142857142857
E1A002,Scenery,24,-0.6
E1A002,Scenery,25,-1.18571428571429
E1A002,Scenery,26,-0.785714285714286
E1A003,Scenery,1,-0.642857142857143
E1A003,Scenery,2,-0.142857142857143
E1A003,Scenery,3,0
E1A003,Scenery,4,1
E1A003,Scenery,5,1.42857142857143
E1A003,Scenery,6,-0.142857142857143
E1A003,Scenery,7,-0.428571428571429
E1A003,Scenery,8,-0.857142857142857
E1A003,Scenery,9,1.58571428571429
E1A003,Scenery,10,0.357142857142857
E1A003,Scenery,11,0.142857142857143
E1A003,Scenery,12,0.214285714285714
E1A003,Scenery,13,0.785714285714286
E1A003,Scenery,14,0.357142857142857
E1A003,Scenery,15,0.714285714285714
E1A003,Scenery,16,-1
E1A003,Scenery,17,-0.642857142857143
E1A003,Scenery,18,0.642857142857143
E1A003,Scenery,19,0.642857142857143
E1A003,Scenery,20,1.14285714285714
E1A003,Scenery,21,0.928571428571429
E1A003,Scenery,22,0.385714285714286
E1A003,Scenery,23,0.642857142857143
E1A003,Scenery,24,1.14285714285714
E1A003,Scenery,25,0.642857142857143
E1A003,Scenery,26,1.35714285714286
E1A004,Scenery,1,-0.714285714285714
E1A004,Scenery,2,0.328571428571429
E1A004,Scenery,3,-0.371428571428571
E1A004,Scenery,4,-0.0285714285714286
E1A004,Scenery,5,-0.385714285714286
E1A004,Scenery,6,-1.25714285714286
E1A004,Scenery,7,0.385714285714286
E1A004,Scenery,8,-0.271428571428571
E1A004,Scenery,9,-0.142857142857143
E1A004,Scenery,10,-0.628571428571428
E1A004,Scenery,11,0.4
E1A004,Scenery,12,0.457142857142857
E1A004,Scenery,13,-0.757142857142857
E1A004,Scenery,14,0.0428571428571428
E1A004,Scenery,15,-0.542857142857143
E1A004,Scenery,16,-0.285714285714286
E1A004,Scenery,17,-1.2
E1A004,Scenery,18,-0.785714285714286
E1A004,Scenery,19,0.0714285714285714
E1A004,Scenery,20,0.257142857142857
E1A004,Scenery,21,-0.771428571428571
E1A004,Scenery,22,-1.2
E1A004,Scenery,23,-1.25714285714286
E1A004,Scenery,24,0.285714285714286
E1A004,Scenery,25,0.342857142857143
E1A004,Scenery,26,-0.8
E1A005,Scenery,1,0.171428571428571
E1A005,Scenery,2,0.314285714285714
E1A005,Scenery,3,-0.414285714285714
E1A005,Scenery,4,0.0142857142857143
E1A005,Scenery,5,-0.157142857142857
E1A005,Scenery,6,-0.785714285714286
E1A005,Scenery,7,0.0285714285714285
E1A005,Scenery,8,0.528571428571429
E1A005,Scenery,9,-0.414285714285714
E1A005,Scenery,10,-0.385714285714286
E1A005,Scenery,11,-0.585714285714286
E1A005,Scenery,12,-0.114285714285714
E1A005,Scenery,13,-0.485714285714286
E1A005,Scenery,14,-0.442857142857143
E1A005,Scenery,15,-0.7
E1A005,Scenery,16,0.285714285714286
E1A005,Scenery,17,0.2
E1A005,Scenery,18,0.0571428571428572
E1A005,Scenery,19,-0.257142857142857
E1A005,Scenery,20,-0.0142857142857143
E1A005,Scenery,21,-0.357142857142857
E1A005,Scenery,22,-0.914285714285714
E1A005,Scenery,23,-0.3
E1A005,Scenery,24,-0.657142857142857
E1A005,Scenery,25,-0.0571428571428571
E1A005,Scenery,26,0.357142857142857
E1A006,Scenery,1,1.31428571428571
E1A006,Scenery,2,-0.857142857142857
E1A006,Scenery,3,-0.942857142857143
E1A006,Scenery,4,0.271428571428571
E1A006,Scenery,5,-2.3
E1A006,Scenery,6,-1.9
E1A006,Scenery,7,-2.01428571428571
E1A006,Scenery,8,-1.61428571428571
E1A006,Scenery,9,-1.37142857142857
E1A006,Scenery,10,-0.371428571428571
E1A006,Scenery,11,-0.957142857142857
E1A006,Scenery,12,-1
E1A006,Scenery,13,-1.3
E1A006,Scenery,14,-0.871428571428572
E1A006,Scenery,15,-1.88571428571429
E1A006,Scenery,16,-1.48571428571429
E1A006,Scenery,17,-1.85714285714286
E1A006,Scenery,18,-0.342857142857143
E1A006,Scenery,19,-1.57142857142857
E1A006,Scenery,20,-0.942857142857143
E1A006,Scenery,21,-1.98571428571429
E1A006,Scenery,22,-1.97142857142857
E1A006,Scenery,23,-0.985714285714286
E1A006,Scenery,24,-1.45714285714286
E1A006,Scenery,25,-1.44285714285714
E1A006,Scenery,26,-1.28571428571429
E1A007,Scenery,1,-0.514285714285714
E1A007,Scenery,2,0.8
E1A007,Scenery,3,-0.685714285714286
E1A007,Scenery,4,-0.928571428571429
E1A007,Scenery,5,-0.257142857142857
E1A007,Scenery,6,-0.542857142857143
E1A007,Scenery,7,-0.185714285714286
E1A007,Scenery,8,-0.3
E1A007,Scenery,9,-0.957142857142857
E1A007,Scenery,10,-1.37142857142857
E1A007,Scenery,11,-0.785714285714286
E1A007,Scenery,12,-0.842857142857143
E1A007,Scenery,13,-1.28571428571429
E1A007,Scenery,14,-0.385714285714286
E1A007,Scenery,15,-1.58571428571429
E1A007,Scenery,16,-0.614285714285714
E1A007,Scenery,17,-0.385714285714286
E1A007,Scenery,18,-0.8
E1A007,Scenery,19,-0.757142857142857
E1A007,Scenery,20,-0.5
E1A007,Scenery,21,-1.04285714285714
E1A007,Scenery,22,-0.514285714285714
E1A007,Scenery,23,-1.11428571428571
E1A007,Scenery,24,-0.714285714285714
E1A007,Scenery,25,-1.1
E1A007,Scenery,26,-0.828571428571428
E1A008,Scenery,1,-0.0857142857142857
E1A008,Scenery,2,-0.542857142857143
E1A008,Scenery,3,-0.585714285714286
E1A008,Scenery,4,-0.528571428571428
E1A008,Scenery,5,-1.11428571428571
E1A008,Scenery,6,-0.528571428571429
E1A008,Scenery,7,0.228571428571429
E1A008,Scenery,8,-0.2
E1A008,Scenery,9,0.214285714285714
E1A008,Scenery,10,0.0857142857142857
E1A008,Scenery,11,-0.171428571428571
E1A008,Scenery,12,-0.7
E1A008,Scenery,13,-0.114285714285714
E1A008,Scenery,14,-1
E1A008,Scenery,15,-0.314285714285714
E1A008,Scenery,16,-0.214285714285714
E1A008,Scenery,17,-0.785714285714286
E1A008,Scenery,18,-0.285714285714286
E1A008,Scenery,19,-0.628571428571428
E1A008,Scenery,20,-0.342857142857143
E1A008,Scenery,21,-0.185714285714286
E1A008,Scenery,22,-0.428571428571429
E1A008,Scenery,23,0.242857142857143
E1A008,Scenery,24,-0.428571428571428
E1A008,Scenery,25,-0.242857142857143
E1A008,Scenery,26,-0.514285714285714
E1A009,Scenery,1,-1.05714285714286
E1A009,Scenery,2,0.428571428571428
E1A009,Scenery,3,-0.414285714285714
E1A009,Scenery,4,0.9
E1A009,Scenery,5,0.2
E1A009,Scenery,6,-0.157142857142857
E1A009,Scenery,7,0.642857142857143
E1A009,Scenery,8,0.442857142857143
E1A009,Scenery,9,0.0714285714285714
E1A009,Scenery,10,0.242857142857143
E1A009,Scenery,11,1.05714285714286
E1A009,Scenery,12,-0.928571428571429
E1A009,Scenery,13,-0.271428571428571
E1A009,Scenery,14,0.0714285714285713
E1A009,Scenery,15,-0.5
E1A009,Scenery,16,-0.328571428571429
E1A009,Scenery,17,-0.3
E1A009,Scenery,18,1.08571428571429
E1A009,Scenery,19,0.242857142857143
E1A009,Scenery,20,-0.271428571428571
E1A009,Scenery,21,0.714285714285714
E1A009,Scenery,22,-0.842857142857143
E1A009,Scenery,23,1.34285714285714
E1A009,Scenery,24,0.471428571428571
E1A009,Scenery,25,-0.485714285714286
