broad_category,trial_within_subcategory,trial_c,observed_mean,participant_sd,n_participants,sem,t_critical,ci_low,ci_high,uncertainty,legacy_row_mean,mean_difference_vs_legacy
Face,1,-8.5,0.02947712418300654,0.8450688354473301,153,0.06831976606798142,1.9756939278061865,-0.10550182278664347,0.16445607115265656,95% t CI across participant-level means,0.02947712418300654,0.0
Face,2,-7.5,0.001160130718954248,0.8351145340878215,153,0.0675150085006386,1.9756939278061865,-0.13222886161154052,0.134549123049449,95% t CI across participant-level means,0.0011601307189542493,-1.3010426069826053e-18
Face,3,-6.5,0.1587418300653595,0.7506499992650562,153,0.0606864555850911,1.9756939278061865,0.03884396826581518,0.2786396918649038,95% t CI across participant-level means,0.1587418300653595,0.0
Face,4,-5.5,0.13194444444444445,0.8823501075841728,153,0.07133377828126766,1.9756939278061865,-0.0089892681533289,0.2728781570422178,95% t CI across participant-level means,0.13194444444444445,0.0
Face,5,-4.5,0.10102941176470588,0.7956070035284176,153,0.06432101396134958,1.9756939278061865,-0.02604922494906943,0.2281080484784812,95% t CI across participant-level means,0.10102941176470588,0.0
Face,6,-3.5,0.04261437908496732,0.7312076764556504,153,0.05911463694684531,1.9756939278061865,-0.0741780501753822,0.15940680834531684,95% t CI across participant-level means,0.042614379084967326,-6.938893903907228e-18
Face,7,-2.5,0.17967320261437908,0.8821988962251425,153,0.07132155356744266,1.9756939278061865,0.03876364230947896,0.32058276291927923,95% t CI across participant-level means,0.17967320261437908,0.0
Face,8,-1.5,0.11965686274509804,0.8898317246864791,153,0.07193863117466447,1.9756939278061865,-0.02247185404137536,0.26178557953157144,95% t CI across participant-level means,0.11965686274509804,0.0
Face,9,-0.5,0.11423202614379084,0.8745155745997774,153,0.07070039382985496,1.9756939278061865,-0.025450312639359582,0.25391436492694125,95% t CI across participant-level means,0.11423202614379084,0.0
Face,10,0.5,0.2359640522875817,0.8560604920994024,153,0.06920838884007978,1.9756939278061865,0.09922945870298663,0.3726986458721767,95% t CI across participant-level means,0.2359640522875817,0.0
Face,11,1.5,0.247859477124183,0.8107550806791735,153,0.0655456634146353,1.9756939278061865,0.11836130792185992,0.37735764632650604,95% t CI across participant-level means,0.247859477124183,0.0
Face,12,2.5,0.22084967320261437,0.8786661992777358,153,0.07103595194670825,1.9756939278061865,0.0805043742855708,0.3611949721196579,95% t CI across participant-level means,0.22084967320261437,0.0
Face,13,3.5,0.16,0.8132444464029638,153,0.06574691670522315,1.9756939278061865,0.030104215893511505,0.28989578410648853,95% t CI across participant-level means,0.16,0.0
Face,14,4.5,0.2695915032679739,0.8211641516411249,153,0.06638718692523678,1.9756939278061865,0.13843074117564932,0.4007522653602984,95% t CI across participant-level means,0.2695915032679739,0.0
Face,15,5.5,0.1781045751633987,0.8591254075894695,153,0.06945617257143544,1.9756939278061865,0.040880436765355105,0.3153287135614423,95% t CI across participant-level means,0.1781045751633987,0.0
Face,16,6.5,0.18222222222222223,0.8036750781338503,153,0.06497327913377238,1.9756939278061865,0.053854909167971754,0.3105895352764727,95% t CI across participant-level means,0.1822222222222222,2.7755575615628914e-17
Face,17,7.5,0.2981372549019608,0.8935442130316862,153,0.07223876806841276,1.9756939278061865,0.15541555947699828,0.44085895032692335,95% t CI across participant-level means,0.2981372549019608,0.0
Face,18,8.5,0.3022222222222222,0.861543737413608,153,0.06965168294991592,1.9756939278061865,0.16461181515659165,0.4398326292878528,95% t CI across participant-level means,0.3022222222222222,0.0
Geometry,1,-8.5,-0.01027777777777778,0.9280084237241192,153,0.0750250343623038,1.9756939278061865,-0.15850428260083188,0.13794872704527633,95% t CI across participant-level means,-0.010277777777777783,3.469446951953614e-18
Geometry,2,-7.5,-0.14866013071895426,0.9195348431722845,153,0.07433998597715882,1.9756939278061865,-0.29553318960722397,-0.0017870718306845224,95% t CI across participant-level means,-0.14866013071895426,0.0
Geometry,3,-6.5,-0.07153594771241831,0.9500445420731307,153,0.07680654894135451,1.9756939278061865,-0.22328218007160108,0.08021028464676447,95% t CI across participant-level means,-0.0715359477124183,-1.3877787807814457e-17
Geometry,4,-5.5,0.11294117647058824,0.9882931157815672,153,0.07989876285172913,1.9756939278061865,-0.04491432413479951,0.270796677075976,95% t CI across participant-level means,0.11294117647058824,0.0
Geometry,5,-4.5,0.0057189542483660205,0.9412803899302908,153,0.07609800923539545,1.9756939278061865,-0.14462742051614386,0.1560653290128759,95% t CI across participant-level means,0.005718954248366013,7.806255641895632e-18
Geometry,6,-3.5,-0.037238562091503266,0.9174079960413198,153,0.07416804057773707,1.9756939278061865,-0.18377190949822125,0.10929478531521471,95% t CI across participant-level means,-0.037238562091503266,0.0
Geometry,7,-2.5,0.12173202614379085,1.0330691403629333,153,0.08351868988789041,1.9756939278061865,-0.043275342326042174,0.28673939461362385,95% t CI across participant-level means,0.12173202614379085,0.0
