4_1_n_affect_daily,4_2_f_affect_daily,4_nf_daily,aq_score,experiment,plot_4_1_n_affect_daily_x,plot_4_1_n_affect_daily_aq,plot_4_2_f_affect_daily_x,plot_4_2_f_affect_daily_aq
2.0,1.0,0.75,19,2,1.9546361455220986,19.282187467716234,1.0932447218057872,18.947502215098563
0.0,1.0,0.5,19,2,0.09589617137096006,19.279589376298578,0.9588948913737566,19.129334828356935
0.5,3.0,1.125,34,2,0.43006065199749133,33.964571589519586,2.897330741564308,34.03429069577783
2.5,0.5,-1.0,8,2,2.5313961430793444,8.23826286502378,0.4140600977162521,8.072923123279102
3.0,3.0,-0.25,18,2,3.1027199550824713,17.73919808980532,3.0618482643739235,17.891708307861922
3.0,2.0,-0.5,26,2,2.923107304344646,26.12646997813533,1.9868957382467844,26.131360201117044
1.5,0.5,-0.5,22,2,1.4012486484484672,22.19727697975415,0.5064431894331353,21.797130760804123
1.0,-1.0,0.0,17,2,0.9777020304884204,17.142778350270003,-1.05202608312382,16.713867348780234
-0.5,3.0,2.375,25,2,-0.42163767194806867,24.697255405099412,3.0340393525252507,25.014439257769382
2.5,0.5,0.0,23,2,2.5362897253691608,22.78598884865975,0.4903916042366901,22.70558492551258
1.0,1.5,0.125,13,2,1.0302441301224947,13.020755541103236,1.5202109766897198,12.772800496732208
-0.5,0.5,0.5,20,2,-0.47485640586358596,19.834781934162603,0.46656335456203,20.098346740570786
2.0,0.5,1.75,28,2,1.9997238956896508,27.786800487964594,0.5782400773523366,27.87773611828391
1.5,0.0,0.0,17,2,1.4332343658032105,17.113945912203818,-0.04066945477866765,16.84096525495275
-0.5,0.0,-0.125,18,2,-0.6009114701179343,18.054227098152815,0.08777509697250828,17.81412162857755
0.5,1.5,0.0,14,2,0.5225333767198578,13.764963412609193,1.5008370830878481,13.983632746595076
1.0,1.0,0.25,30,2,0.9000720320955333,29.696036408297033,0.8967327788176058,29.779616802474404
1.5,1.0,0.875,23,2,1.499157890382118,22.855967309053156,0.9571112735601882,22.947382655534028
0.5,-1.0,1.125,17,2,0.5704292088912839,16.916891303035687,-0.9104300391825189,17.097490869156815
0.0,0.0,0.75,12,2,0.10083365599248217,12.270562903919709,0.026529399747004072,11.982654430984018
0.5,2.0,2.75,29,2,0.47935586900848975,28.83422882106217,1.9564429765772346,29.143214136269172
-0.5,0.5,1.5,20,2,-0.5596170346891517,19.792399963225506,0.48240317186639237,20.28755860045235
1.0,0.0,0.625,13,2,0.9193067427030619,12.842811006014966,-0.06810340792747968,13.147375484565485
1.0,0.0,-0.875,12,2,1.0514901535247663,11.761529808941061,-0.06519720873257741,12.198353224256032
0.5,0.5,0.875,22,3,0.4826646934559701,21.9987131346929,0.4233568078784553,22.07852205313002
1.5,0.0,-1.625,17,3,1.5413211068906476,16.902116843066032,-0.03540790741318414,16.983046972002075
2.0,2.0,0.625,16,3,1.9375251286828408,15.850708655215701,1.9246271043740435,16.124267394893614
0.0,0.0,-0.75,32,3,0.07118581940319395,32.12533380529631,0.07121107425746859,31.843976071938553
1.5,1.0,0.0,25,3,1.452178962311412,25.163325078626414,1.0539333333545857,25.310396009725313
3.0,2.5,0.875,13,3,3.0009742484053072,12.991737067560255,2.5755593316392074,12.746158218054605
2.5,-2.0,-0.625,16,3,2.502125546637347,15.771226244968052,-2.0311829484919044,16.257145222264818
0.5,0.0,0.375,27,3,0.5138973565594498,27.093223671225715,-0.03533406521182194,26.80858259297184
1.5,0.5,0.125,16,3,1.4831951533975403,16.27006200919535,0.590024595465008,16.026703305754868
1.0,2.5,1.5,28,3,0.9233291762052243,27.949088204238016,2.4016513361463305,28.077127275795988
