broad_category,exposure_index,observed_mean,participant_sd,n_participants,sem,ci_low,ci_high
Face,1,0.5350595238095238,0.8177197847848439,126,0.07284826840598592,0.3908837594792227,0.6792352881398249
Face,2,0.6504563492063492,0.9180042157198216,126,0.08178231559137356,0.48859899669693363,0.8123137017157648
Face,3,0.6126190476190476,0.8414155844256068,126,0.07495925801935202,0.46426537285024144,0.7609727223878537
Face,4,0.6280753968253968,0.7551488040577443,126,0.06727400240038492,0.49493179673898735,0.7612189969118063
Face,5,0.6074007936507937,0.9185208980090572,126,0.08182834530813864,0.4454523426191795,0.769349244682408
Face,6,0.6016071428571428,0.8691971850095763,126,0.07743423971081423,0.44835517215244114,0.7548591135618444
Face,7,0.6095039682539682,0.8167937328261813,126,0.07276576914047006,0.4654914802090573,0.7535164562988792
Face,8,0.6812301587301587,0.8019052154732345,126,0.07143939459447564,0.5398427305273192,0.8226175869329981
Face,9,0.5912301587301587,0.8829130051161184,126,0.07865614208265483,0.43555989158201475,0.7469004258783027
Face,10,0.690515873015873,0.9106637314322076,126,0.08112837327572477,0.5299527535095145,0.8510789925222315
Face,11,0.6653968253968254,0.9331472773736423,126,0.08313136674602573,0.5008695332224243,0.8299241175712265
Face,12,0.585218253968254,0.8583158521104727,126,0.07646485352938857,0.4338848188265307,0.7365516891099773
Face,13,0.6353968253968254,0.9429622162472054,126,0.08400575099690673,0.4691390182706264,0.8016546325230245
Face,14,0.6425396825396825,0.9759717200885988,126,0.08694647132742797,0.4704618249083473,0.8146175401710177
Face,15,0.7256150793650793,0.8214503446044645,126,0.07318061308945939,0.5807815636590851,0.8704485950710735
Face,16,0.6905357142857143,0.9318483571452416,126,0.08301564973489654,0.5262374404379065,0.854833988133522
Face,17,0.6821031746031746,0.9562425117457607,126,0.08518885375287602,0.5135038602887396,0.8507024889176096
Face,18,0.7173611111111111,0.9581504216747784,126,0.08535882387857145,0.5484254048230346,0.8862968173991876
Scenery,1,0.6746230158730159,1.0606152491577856,126,0.09448711622705507,0.48762128612040745,0.8616247456256243
Scenery,2,0.41192460317460317,1.0072694357865928,126,0.08973469344958393,0.23432850791894771,0.5895206984302586
Scenery,3,0.23910714285714288,0.9268439169723084,126,0.08256981876966503,0.0756912238213418,0.40252306189294396
Scenery,4,0.3879563492063492,0.9038340777373715,126,0.08051993936628687,0.22859739591913553,0.5473153024935629
Scenery,5,0.22041666666666668,0.9409236286755688,126,0.08382413918152579,0.05451829186283991,0.38631504147049345
Scenery,6,0.19732142857142856,1.0387182090717113,126,0.09253637285118495,0.01418046206525625,0.3804623950776009
Scenery,7,0.29990079365079364,0.9937195983170327,126,0.08852757798630856,0.12469372971133558,0.4751078575902517
Scenery,8,0.11462301587301586,0.9232672997274578,126,0.08225118838076365,-0.04816229407812313,0.27740832582415487
Scenery,9,0.2936904761904762,1.0100229558918803,126,0.08997999651724059,0.1156088957195118,0.4717720566614406
