measure,face,face_low,face_high,scenery,scenery_low,scenery_high,geometry,geometry_low,geometry_high
Category-specific FNI,0.235,0.061,0.396,0.469,0.348,0.579,0.323,0.157,0.473
Category-specific trajectory slope,-0.322,-0.601,-0.060,0.068,-0.157,0.270,0.071,-0.150,0.268
