panel,estimand,estimate,se,ci_low,ci_high,p_value,q_bh
a,Face,.01337,.00285,.00778,.01896,2.73e-6,--
a,Scenery,-.01763,.00285,-.02322,-.01204,6.26e-10,--
a,Geometry,.00131,.00285,-.00428,.00690,.646,--
b,Face -- Scenery,.03100,--,.02310,.03890,1.49e-14,4.46e-14
b,Face -- Geometry,.01206,--,.00416,.01996,.00278,.00278
b,Scenery -- Geometry,-.01894,--,-.02684,-.01104,2.64e-6,3.95e-6
